url,title,source,author,published,raw_text
https://demo.irhub.local/information-retrieval-basics,Information Retrieval Foundations,Curated demo dataset,IR Hub,2025-01-15,"Information retrieval studies the representation storage organization and access of information items. A search engine transforms a user query into terms, consults an inverted index, and returns documents ranked by estimated relevance. Precision measures the fraction of retrieved results that are relevant while recall measures coverage of all relevant material. Modern retrieval systems combine lexical matching, metadata filters, semantic features and user feedback."
https://demo.irhub.local/bm25-ranking,BM25 for Ranked Document Retrieval,Curated demo dataset,IR Hub,2025-01-18,"BM25 is a probabilistic ranking function used by web search and enterprise search systems. It weights query terms using inverse document frequency and normalizes term frequency by document length. Parameters k1 and b control saturation and length normalization. BM25 is efficient because an inverted index limits scoring to candidate documents. Ranking quality should be evaluated with MAP, MRR and NDCG in addition to precision at K."
https://demo.irhub.local/pagerank-authority,PageRank and Link Authority,Curated demo dataset,IR Hub,2025-01-21,"PageRank estimates document authority from the structure of hyperlinks. A document receives authority when other important documents link to it. In a search engine PageRank is commonly combined with a lexical score such as BM25 rather than used alone. The blend can promote credible sources when two pages contain similar query terms, but a high authority score can hurt freshness or topic relevance if it is over-weighted."
https://demo.irhub.local/web-crawling,Responsible Web Crawling,Curated demo dataset,IR Hub,2025-01-24,"A web crawler starts with multiple seed URLs and traverses hyperlinks using a queue. Crawl depth and page limits protect the target website and make a laboratory experiment repeatable. Robust crawling respects robots.txt, uses a descriptive user agent, removes URL fragments and stores a visited URL set. HTML extraction should separate page metadata such as title and source URL from the main textual content used for indexing."
https://demo.irhub.local/deduplication,Duplicate and Near-Duplicate Detection,Curated demo dataset,IR Hub,2025-01-27,"Duplicate pages waste storage and distort search ranking. Exact duplicates can be detected with normalized URLs and a content hash. Near duplicates require a similarity method such as shingling with Jaccard similarity, MinHash or SimHash. Deduplicating before indexing prevents a repeated article from occupying many search results. It also protects recommendation and evaluation metrics from artificially inflated relevance."
https://demo.irhub.local/text-preprocessing,Text Preprocessing and Feature Engineering,Curated demo dataset,IR Hub,2025-02-02,"Text mining converts raw documents into useful feature representations. Typical preprocessing lowercases text, tokenizes words, removes stop words and optionally applies stemming or lemmatization. Feature engineering can use term frequency, TF-IDF, n-grams and document length. Keyword extraction and frequency charts help an analyst understand corpus vocabulary. Comparing feature strategies shows the tradeoff between vocabulary size, interpretability and retrieval recall."
https://demo.irhub.local/tfidf-content-recommender,Content-Based Recommendation with TF-IDF,Curated demo dataset,IR Hub,2025-02-05,"A content-based recommender represents each document as a TF-IDF vector. Cosine similarity identifies documents with overlapping informative terms and creates Top-K recommendations from a selected article. This approach works when item descriptions are rich and user history is sparse. It is transparent because the system can show shared keywords and similarity scores. Content similarity can become narrow because it favors documents similar to past interests."
https://demo.irhub.local/collaborative-recommender,Collaborative Recommendation from Implicit Feedback,Curated demo dataset,IR Hub,2025-02-08,"Collaborative recommendation learns from actions such as saves clicks ratings or downloads. If readers who saved one paper also save another paper the second paper becomes a candidate recommendation. Collaborative filtering can surface cross-topic discoveries without detailed document text, but it faces cold-start problems for new users and new documents. A hybrid recommender blends collaborative evidence with content similarity to improve coverage and personalization."
https://demo.irhub.local/evaluation-metrics,Evaluating Search with Relevance Judgments,Curated demo dataset,IR Hub,2025-02-11,"An information retrieval evaluation uses queries together with relevance judgments called qrels. Precision at K focuses on early results and recall at K measures how many known relevant documents appear before the cutoff. Average precision summarizes precision at every relevant rank; mean average precision averages this measure across queries. MRR rewards the rank of the first relevant result. NDCG supports graded relevance and discounts results placed lower in a ranked list."
https://demo.irhub.local/query-optimization,Query Processing and Optimization,Curated demo dataset,IR Hub,2025-02-14,"Intelligent query processing supports phrase search Boolean operators field filters spelling correction and query expansion. An inverted index maps a term to postings, allowing the engine to evaluate candidate documents without scanning every text. Boolean filtering should execute before expensive scoring. Phrase matching can use positional postings or a text verification step. Query logs and zero-result searches identify opportunities to improve vocabulary and ranking."
https://demo.irhub.local/semantic-search,Semantic Search and Dense Representations,Curated demo dataset,IR Hub,2025-02-17,"Semantic search represents queries and documents with dense embeddings so related ideas can match even when they use different words. A dense retriever is useful for natural language questions and vocabulary mismatch. Sparse BM25 retrieval remains valuable for exact entities rare terms and efficient first-stage candidate generation. Hybrid search combines lexical and semantic scores, then re-ranks a small candidate set using richer models and behavioral signals."
https://demo.irhub.local/classification,Document Classification for Search Facets,Curated demo dataset,IR Hub,2025-02-20,"Document classification assigns a topic label to text and supports faceted search, analytics and recommendation diversity. A baseline classifier can use keywords or a Naive Bayes model with TF-IDF features. Categories should be reviewed because labels may be uncertain for multidisciplinary documents. Classification is not a replacement for ranking: it narrows the candidate set while a search score orders the items within each category."
https://demo.irhub.local/data-pipelines,Data Pipelines for Search Collections,Curated demo dataset,IR Hub,2025-02-23,"A production search collection needs reliable ingestion pipelines. The pipeline acquires data from APIs datasets and crawled web pages, validates metadata, removes duplicates and stores raw content separately from derived features. Incremental indexing updates only changed documents. Monitoring acquisition source, document length, error rates and vocabulary drift identifies data-quality problems before they damage retrieval quality."
https://demo.irhub.local/vision-retrieval,Image and Visual Retrieval,Curated demo dataset,IR Hub,2025-02-26,"Visual retrieval indexes images using descriptors or neural embeddings. A user can issue an image query and receive visually similar images based on cosine distance. Metadata such as caption creator and publication date remains important for filtering and explanation. Evaluation includes precision at K and NDCG based on human relevance judgments. Multimodal retrieval combines visual and textual features when both improve user intent matching."
https://demo.irhub.local/ranking-diagnostics,Diagnosing Poor Ranking,Curated demo dataset,IR Hub,2025-03-01,"When a system retrieves relevant documents but ranks them poorly the candidate generation stage is working but the ranking features or weights are inadequate. Possible causes include weak term weighting poor length normalization missing phrase features stale authority scores and incomplete relevance judgments. Improvements include tuning BM25 parameters learning a re-ranker using qrels adding freshness and field boosts, applying PageRank carefully and inspecting per-query errors rather than relying only on one aggregate metric."
